question,answer,passage
이란과 아프가니스탄은 같은 언어를 한다,True,"익명의 파르시(Farsi)로도 알려진 페르시아어(Fersi Forsisi)는 인도-유럽어 가족의 인도 이란 지점 내 서구 이란어 중 하나다. 이란과 아프가니스탄(1958년 이후 다리로 알려진 오프라이스탄), 태지키스탄(소련 시대 이래 태지기로 불리는 이후), 역사적으로 페르시아 사회가 되어 대이란의 일부로 꼽히는 일부 지역에서 주로 이야기하고 있다. 아라마 알파벳에서 자신이 진화한 아랍어 대본의 변형된 변형 변형물인 아라비아 대본에 적힌 것이다."
좋은 사마리아인 법을 통해 사고에 도움을 주는 사람들을 보호하라,True,"좋은 사마리아인 법은 합리적인 도움을 주거나 자신이 믿는 사람, 부상, 병이 있거나 그렇지 않은 사람에게 법적 보호를 제공한다. 이번 보호는 의도치 않은 부상이나 잘못된 사망으로 고소되거나 기소될 우려가 있다는 점에서 도움을 주기 위해 노인들의 망설임을 줄이기 위한 것이다. 캐나다의 공통된 지역에서 이런 법률을 예로 들어보자. 좋은 사마리탄 신학은 자발적으로 피해자가 잘못된 행위로 성공적으로는 피해를 입은 구조자를 막는 법적 원칙이다. 치료에 어떤 실수를 하면 법적 파장이 우려되는 낯선 사람을 돕는 것을 꺼리지 않도록 하겠다는 취지다. 이와는 대조적으로 구조 의무는 사람들이 도움을 제공하고 그렇게 책임을 지지 않는 이들을 보유하도록 하는 것이다."
유리창의 창문 제작자 일부,True,"윈도우 영화관(옛날 윈도우라이브 영화 '윈도우' 7호)은 마이크로소프트가 중단한 영상 편집 소프트웨어다. 윈도우 에센티ials 소프트웨어 스위트의 일환으로 원드리브, 페이스북, 비메오, 유튜브, 플릭러 등에서 동영상을 만들고 편집할 수 있는 능력을 제공하고 있다."
분말 설탕과 같은 과자 설탕이다,True,"과자의 설탕이라고도 불리는 밀가루 설탕, 설탕 얼리기, 아이스케이크 등은 분말 상태로 밀어 넣은 설탕을 만들어 내는 단풍 그라운드 설탕입니다. 보통 조작과 흐름 개선을 막기 위해 소량의 항조제가 함유된다. 공장에서 가장 많이 생산되는 경우가 많지만 커피 그린더에서 일반 그래픽 설탕을 처리하거나 분말과 해충에 손으로 참아 설탕도 만들 수 있다."
온라인에서는 하늘숲과 같은 오래된 롤이 있다.,False,"노인 스크롤 시리즈에서 다른 게임들과 마찬가지로 타미리엘의 대륙에서 경기가 펼쳐진다. 이번 경기 행사는 노인 스크롤 V: 스카이림 1000년 전에 일어나는데, 800여 년 전 노인스크롤스 3: 모레인드, 노인수첩 4: 의무가 있다. 두 갈등이 동시에 진행되고 있는 스카이림과 비슷한 구조를 가지고 있으며, 세계의 운명을 가진 하나, 타미리엘에게 상이 최고 권력인 하나 등이 있다. 온라인상에서는 첫 번째 투쟁이 문두스 비행기를 냉차르 영역으로 밀어내려는 대드리크 왕세자 발라그와 맞서고, 두 번째는 인종의 세 가지 동맹으로 문제가 되는 공석의 왕위를 포착하는 것이다. 선수 캐릭터가 몰라그 발에게 희생됐고, 몰래그 발은 그들의 영혼을 도둑맞았고, 그 중 일차적인 게임 목표가 되는 회복이다."
에솜역에서 굴 카드를 사용할 수 있습니다,False,에솜 철도역이 1880년 에솜 마을을 역임한다. 고속도로에서 2분도 채 안 되는 도로에 위치해 있다. 에솜스테이션이나 타트 코너 역과 달리 런던 오이스터 카드존은 아니다. 이 역 건물은 2012년/2013년 역 위에 아파트(기사 종료)가 있는 새 건물로 교체됐다.
다빈의 악마 4시즌이 있을 것이다,False,"이번 시리즈는 2013년 4월 12일 미국 스타즈에서 초연되었으며, 두 번째 시즌은 지난 22월 22일 초연이었다. 이 시리즈는 2015년 10월 24일 첫 시즌을 앞둔 세 번째 시즌으로 재개됐다. 스타즈는 2015년 7월 23일 세 번째 시즌이 방송의 마지막이라고 발표했다. 다만 고이어가 미니시리즈 복귀를 위해 문을 열어뒀다."
연방법원은 대법원과 같다,False,연방법원은 3단계의 법원으로 구성되어 있다 미국 대법원이 마지막 휴양지의 법원이다. 재량심사를 받아 운영하는 항소심은 일반적으로 법원이 어떤 사건을 청취할 수 있는지를 인증 공방을 부여하는 방식으로 선택하는 것이다. 따라서 대법원까지 자동으로 확대하는 기본적인 항소권이 대체로 없다. 몇몇 상황(국가 정부 간 소송이나 연방정부와 국가 간 일부 사건과 같은)에서는 원심 관할 법원으로 자리 잡고 있다.
아브라함 린컨이 민간 라이언을 살리는 데 편지를 썼다,True,1998년 전쟁영화 '라이언 프라이빗'에서는 라이언의 세 형제가 전투에서 숨진 뒤 제임스 프란치스코 라이안 프랑스 사병을 찾아 집으로 보내라는 명령을 내리기 전 조지 마셜(하베 프레지슨 분) 장군이
배트맨과 로빈은 영원히 배트맨의 후속작이다,True,"1995년 6월 배트맨 포레버의 흥행으로 워너 브로스는 즉각 후속작을 위탁했다. 이들은 조엘 슈머스터 감독과 작가 아키바 골드만을 고용해 이듬해 8월 직무를 보완하고, 평소 3년간의 영화 간 격차에서 벗어난 1997년 6월 목표 출시일을 맞아 패스트트랙 제작이 최선이라고 판단 장학사는 1960년대 텔레비전 시리즈의 넓은 캠프 스타일과 딕 스프랑의 작품을 모두 선보이고자 했다. 배트맨&로빈의 이야기는 슈머스터와 골드만장이 A타임 미리 제작하는 과정에서 '살해를 위한 시간'을 만들어 낸 것이다. 선생님의 항구 얼어붙은 뒷스토리는 바울 디니가 쓴 '아이스의 하트' 동물시리즈 에피소드 '하트 오브 아이스'를 바탕으로 한 것이다."
