,category,context_name,question,answer,passage
0,과일,감,이것은 씨가 있나요?,,"감(영어: persimmon)은 감나무속 나무에서 나는 과일이다. 단과(丹果)라고도 한다. 감나무(D. kaki)는 한국, 중국, 일본 지역에서 주로 재배되며 맛이 매우 달고 가공, 저장이 쉬워 말려 먹거나 다른 음식에 넣어 먹기도 한다. 디오스프린이라는 탄닌 성분이 떫은 맛을 내고 이 성분이 많이 먹었을 때 변비를 일으키기도 한다. 크게 단단한 상태에서 먹는 단감과 완전히 익은 홍시, 말려서 먹는 곶감의 형태로 먹는다. 2005년 현재, 가장 많은 양의 감을 생산하고 있는 국가는 중국이며, 대한민국과 일본이 그 다음으로 많이 생산하고 있다. 감은 그냥 먹기도 하지만, 말리거나 요리를 하여 먹는 경우도 있다. 생으로 먹는 경우, 일반적으로 껍질을 벗긴 후 4등분하여 먹는다. 홍시의 경우에는 숟가락으로 떠먹을 수도 있다. 잘 익은 감은 단맛이 난다. 그러나 완전히 익기 전에는 떫은맛이 나므로 먹을 수 없다. 대한민국을 비롯해 중국, 일본, 베트남 등지에서는 수확한 감을 2주에서 3주가량 실외에서 말린 후 실내에서 며칠 간 더 말려 곶감으로 먹기도 한다. 이것을 일본에서는 호쉬가키(干し柿), 중국에서는 쉬빙(柿饼), 베트남에서는 hồng khô라고 한다. 곶감은 간식이나 후식으로 대접되거나 다른 요리에 사용된다. 감을익히면 홍시가 된다. 한국의 전통 음료인 수정과를 만들 때 말린 감을 사용하기도 하며, 익은 감을 발효시켜 감식초를 만들기도 한다. 타이완에서는 석회수를 담은 단지에 감을 보관하여 떫은맛을 제거한다. 이 과정에서 감이 약간 물렁해져 이를 취시(脆柿)라고 한다. 보관 기간은 상온(25–28 °C)에서 5-7일정도이다. 중국 둥베이 지역과 한국에서는 감의 잎을 말려 감잎차를 만든다. 비타민 A·C가 고루 들어 있어 피로 해소와 감기 예방에 탁월하며. 식이섬유 함량이 높아 장 기능을 개선한다. 해독·항산화 효과가 있으며, 칼륨과 마그네슘 등이 풍부하게 함유되어 있다. 고혈압 예방, 혈중 알코올의 상승률을 낮추는 효능도 있다.[2]"
1,과일,감,이것의 씨는 큰가요?,,"감(영어: persimmon)은 감나무속 나무에서 나는 과일이다. 단과(丹果)라고도 한다. 감나무(D. kaki)는 한국, 중국, 일본 지역에서 주로 재배되며 맛이 매우 달고 가공, 저장이 쉬워 말려 먹거나 다른 음식에 넣어 먹기도 한다. 디오스프린이라는 탄닌 성분이 떫은 맛을 내고 이 성분이 많이 먹었을 때 변비를 일으키기도 한다. 크게 단단한 상태에서 먹는 단감과 완전히 익은 홍시, 말려서 먹는 곶감의 형태로 먹는다. 2005년 현재, 가장 많은 양의 감을 생산하고 있는 국가는 중국이며, 대한민국과 일본이 그 다음으로 많이 생산하고 있다. 감은 그냥 먹기도 하지만, 말리거나 요리를 하여 먹는 경우도 있다. 생으로 먹는 경우, 일반적으로 껍질을 벗긴 후 4등분하여 먹는다. 홍시의 경우에는 숟가락으로 떠먹을 수도 있다. 잘 익은 감은 단맛이 난다. 그러나 완전히 익기 전에는 떫은맛이 나므로 먹을 수 없다. 대한민국을 비롯해 중국, 일본, 베트남 등지에서는 수확한 감을 2주에서 3주가량 실외에서 말린 후 실내에서 며칠 간 더 말려 곶감으로 먹기도 한다. 이것을 일본에서는 호쉬가키(干し柿), 중국에서는 쉬빙(柿饼), 베트남에서는 hồng khô라고 한다. 곶감은 간식이나 후식으로 대접되거나 다른 요리에 사용된다. 감을익히면 홍시가 된다. 한국의 전통 음료인 수정과를 만들 때 말린 감을 사용하기도 하며, 익은 감을 발효시켜 감식초를 만들기도 한다. 타이완에서는 석회수를 담은 단지에 감을 보관하여 떫은맛을 제거한다. 이 과정에서 감이 약간 물렁해져 이를 취시(脆柿)라고 한다. 보관 기간은 상온(25–28 °C)에서 5-7일정도이다. 중국 둥베이 지역과 한국에서는 감의 잎을 말려 감잎차를 만든다. 비타민 A·C가 고루 들어 있어 피로 해소와 감기 예방에 탁월하며. 식이섬유 함량이 높아 장 기능을 개선한다. 해독·항산화 효과가 있으며, 칼륨과 마그네슘 등이 풍부하게 함유되어 있다. 고혈압 예방, 혈중 알코올의 상승률을 낮추는 효능도 있다.[2]"
2,과일,감,이것은 나무에서 자라나요?,True,"감(영어: persimmon)은 감나무속 나무에서 나는 과일이다. 단과(丹果)라고도 한다. 감나무(D. kaki)는 한국, 중국, 일본 지역에서 주로 재배되며 맛이 매우 달고 가공, 저장이 쉬워 말려 먹거나 다른 음식에 넣어 먹기도 한다. 디오스프린이라는 탄닌 성분이 떫은 맛을 내고 이 성분이 많이 먹었을 때 변비를 일으키기도 한다. 크게 단단한 상태에서 먹는 단감과 완전히 익은 홍시, 말려서 먹는 곶감의 형태로 먹는다. 2005년 현재, 가장 많은 양의 감을 생산하고 있는 국가는 중국이며, 대한민국과 일본이 그 다음으로 많이 생산하고 있다. 감은 그냥 먹기도 하지만, 말리거나 요리를 하여 먹는 경우도 있다. 생으로 먹는 경우, 일반적으로 껍질을 벗긴 후 4등분하여 먹는다. 홍시의 경우에는 숟가락으로 떠먹을 수도 있다. 잘 익은 감은 단맛이 난다. 그러나 완전히 익기 전에는 떫은맛이 나므로 먹을 수 없다. 대한민국을 비롯해 중국, 일본, 베트남 등지에서는 수확한 감을 2주에서 3주가량 실외에서 말린 후 실내에서 며칠 간 더 말려 곶감으로 먹기도 한다. 이것을 일본에서는 호쉬가키(干し柿), 중국에서는 쉬빙(柿饼), 베트남에서는 hồng khô라고 한다. 곶감은 간식이나 후식으로 대접되거나 다른 요리에 사용된다. 감을익히면 홍시가 된다. 한국의 전통 음료인 수정과를 만들 때 말린 감을 사용하기도 하며, 익은 감을 발효시켜 감식초를 만들기도 한다. 타이완에서는 석회수를 담은 단지에 감을 보관하여 떫은맛을 제거한다. 이 과정에서 감이 약간 물렁해져 이를 취시(脆柿)라고 한다. 보관 기간은 상온(25–28 °C)에서 5-7일정도이다. 중국 둥베이 지역과 한국에서는 감의 잎을 말려 감잎차를 만든다. 비타민 A·C가 고루 들어 있어 피로 해소와 감기 예방에 탁월하며. 식이섬유 함량이 높아 장 기능을 개선한다. 해독·항산화 효과가 있으며, 칼륨과 마그네슘 등이 풍부하게 함유되어 있다. 고혈압 예방, 혈중 알코올의 상승률을 낮추는 효능도 있다.[2]"
3,과일,감,이것을 부르는 다른 말이 있나요?,True,"감(영어: persimmon)은 감나무속 나무에서 나는 과일이다. 단과(丹果)라고도 한다. 감나무(D. kaki)는 한국, 중국, 일본 지역에서 주로 재배되며 맛이 매우 달고 가공, 저장이 쉬워 말려 먹거나 다른 음식에 넣어 먹기도 한다. 디오스프린이라는 탄닌 성분이 떫은 맛을 내고 이 성분이 많이 먹었을 때 변비를 일으키기도 한다. 크게 단단한 상태에서 먹는 단감과 완전히 익은 홍시, 말려서 먹는 곶감의 형태로 먹는다. 2005년 현재, 가장 많은 양의 감을 생산하고 있는 국가는 중국이며, 대한민국과 일본이 그 다음으로 많이 생산하고 있다. 감은 그냥 먹기도 하지만, 말리거나 요리를 하여 먹는 경우도 있다. 생으로 먹는 경우, 일반적으로 껍질을 벗긴 후 4등분하여 먹는다. 홍시의 경우에는 숟가락으로 떠먹을 수도 있다. 잘 익은 감은 단맛이 난다. 그러나 완전히 익기 전에는 떫은맛이 나므로 먹을 수 없다. 대한민국을 비롯해 중국, 일본, 베트남 등지에서는 수확한 감을 2주에서 3주가량 실외에서 말린 후 실내에서 며칠 간 더 말려 곶감으로 먹기도 한다. 이것을 일본에서는 호쉬가키(干し柿), 중국에서는 쉬빙(柿饼), 베트남에서는 hồng khô라고 한다. 곶감은 간식이나 후식으로 대접되거나 다른 요리에 사용된다. 감을익히면 홍시가 된다. 한국의 전통 음료인 수정과를 만들 때 말린 감을 사용하기도 하며, 익은 감을 발효시켜 감식초를 만들기도 한다. 타이완에서는 석회수를 담은 단지에 감을 보관하여 떫은맛을 제거한다. 이 과정에서 감이 약간 물렁해져 이를 취시(脆柿)라고 한다. 보관 기간은 상온(25–28 °C)에서 5-7일정도이다. 중국 둥베이 지역과 한국에서는 감의 잎을 말려 감잎차를 만든다. 비타민 A·C가 고루 들어 있어 피로 해소와 감기 예방에 탁월하며. 식이섬유 함량이 높아 장 기능을 개선한다. 해독·항산화 효과가 있으며, 칼륨과 마그네슘 등이 풍부하게 함유되어 있다. 고혈압 예방, 혈중 알코올의 상승률을 낮추는 효능도 있다.[2]"
4,과일,감,이것은 단가요?,True,"감(영어: persimmon)은 감나무속 나무에서 나는 과일이다. 단과(丹果)라고도 한다. 감나무(D. kaki)는 한국, 중국, 일본 지역에서 주로 재배되며 맛이 매우 달고 가공, 저장이 쉬워 말려 먹거나 다른 음식에 넣어 먹기도 한다. 디오스프린이라는 탄닌 성분이 떫은 맛을 내고 이 성분이 많이 먹었을 때 변비를 일으키기도 한다. 크게 단단한 상태에서 먹는 단감과 완전히 익은 홍시, 말려서 먹는 곶감의 형태로 먹는다. 2005년 현재, 가장 많은 양의 감을 생산하고 있는 국가는 중국이며, 대한민국과 일본이 그 다음으로 많이 생산하고 있다. 감은 그냥 먹기도 하지만, 말리거나 요리를 하여 먹는 경우도 있다. 생으로 먹는 경우, 일반적으로 껍질을 벗긴 후 4등분하여 먹는다. 홍시의 경우에는 숟가락으로 떠먹을 수도 있다. 잘 익은 감은 단맛이 난다. 그러나 완전히 익기 전에는 떫은맛이 나므로 먹을 수 없다. 대한민국을 비롯해 중국, 일본, 베트남 등지에서는 수확한 감을 2주에서 3주가량 실외에서 말린 후 실내에서 며칠 간 더 말려 곶감으로 먹기도 한다. 이것을 일본에서는 호쉬가키(干し柿), 중국에서는 쉬빙(柿饼), 베트남에서는 hồng khô라고 한다. 곶감은 간식이나 후식으로 대접되거나 다른 요리에 사용된다. 감을익히면 홍시가 된다. 한국의 전통 음료인 수정과를 만들 때 말린 감을 사용하기도 하며, 익은 감을 발효시켜 감식초를 만들기도 한다. 타이완에서는 석회수를 담은 단지에 감을 보관하여 떫은맛을 제거한다. 이 과정에서 감이 약간 물렁해져 이를 취시(脆柿)라고 한다. 보관 기간은 상온(25–28 °C)에서 5-7일정도이다. 중국 둥베이 지역과 한국에서는 감의 잎을 말려 감잎차를 만든다. 비타민 A·C가 고루 들어 있어 피로 해소와 감기 예방에 탁월하며. 식이섬유 함량이 높아 장 기능을 개선한다. 해독·항산화 효과가 있으며, 칼륨과 마그네슘 등이 풍부하게 함유되어 있다. 고혈압 예방, 혈중 알코올의 상승률을 낮추는 효능도 있다.[2]"
5,과일,감,이것은 변비를 일으키나요?,True,"감(영어: persimmon)은 감나무속 나무에서 나는 과일이다. 단과(丹果)라고도 한다. 감나무(D. kaki)는 한국, 중국, 일본 지역에서 주로 재배되며 맛이 매우 달고 가공, 저장이 쉬워 말려 먹거나 다른 음식에 넣어 먹기도 한다. 디오스프린이라는 탄닌 성분이 떫은 맛을 내고 이 성분이 많이 먹었을 때 변비를 일으키기도 한다. 크게 단단한 상태에서 먹는 단감과 완전히 익은 홍시, 말려서 먹는 곶감의 형태로 먹는다. 2005년 현재, 가장 많은 양의 감을 생산하고 있는 국가는 중국이며, 대한민국과 일본이 그 다음으로 많이 생산하고 있다. 감은 그냥 먹기도 하지만, 말리거나 요리를 하여 먹는 경우도 있다. 생으로 먹는 경우, 일반적으로 껍질을 벗긴 후 4등분하여 먹는다. 홍시의 경우에는 숟가락으로 떠먹을 수도 있다. 잘 익은 감은 단맛이 난다. 그러나 완전히 익기 전에는 떫은맛이 나므로 먹을 수 없다. 대한민국을 비롯해 중국, 일본, 베트남 등지에서는 수확한 감을 2주에서 3주가량 실외에서 말린 후 실내에서 며칠 간 더 말려 곶감으로 먹기도 한다. 이것을 일본에서는 호쉬가키(干し柿), 중국에서는 쉬빙(柿饼), 베트남에서는 hồng khô라고 한다. 곶감은 간식이나 후식으로 대접되거나 다른 요리에 사용된다. 감을익히면 홍시가 된다. 한국의 전통 음료인 수정과를 만들 때 말린 감을 사용하기도 하며, 익은 감을 발효시켜 감식초를 만들기도 한다. 타이완에서는 석회수를 담은 단지에 감을 보관하여 떫은맛을 제거한다. 이 과정에서 감이 약간 물렁해져 이를 취시(脆柿)라고 한다. 보관 기간은 상온(25–28 °C)에서 5-7일정도이다. 중국 둥베이 지역과 한국에서는 감의 잎을 말려 감잎차를 만든다. 비타민 A·C가 고루 들어 있어 피로 해소와 감기 예방에 탁월하며. 식이섬유 함량이 높아 장 기능을 개선한다. 해독·항산화 효과가 있으며, 칼륨과 마그네슘 등이 풍부하게 함유되어 있다. 고혈압 예방, 혈중 알코올의 상승률을 낮추는 효능도 있다.[2]"
6,과일,감,이것은 먹는 방식이 다양한가요?,True,"감(영어: persimmon)은 감나무속 나무에서 나는 과일이다. 단과(丹果)라고도 한다. 감나무(D. kaki)는 한국, 중국, 일본 지역에서 주로 재배되며 맛이 매우 달고 가공, 저장이 쉬워 말려 먹거나 다른 음식에 넣어 먹기도 한다. 디오스프린이라는 탄닌 성분이 떫은 맛을 내고 이 성분이 많이 먹었을 때 변비를 일으키기도 한다. 크게 단단한 상태에서 먹는 단감과 완전히 익은 홍시, 말려서 먹는 곶감의 형태로 먹는다. 2005년 현재, 가장 많은 양의 감을 생산하고 있는 국가는 중국이며, 대한민국과 일본이 그 다음으로 많이 생산하고 있다. 감은 그냥 먹기도 하지만, 말리거나 요리를 하여 먹는 경우도 있다. 생으로 먹는 경우, 일반적으로 껍질을 벗긴 후 4등분하여 먹는다. 홍시의 경우에는 숟가락으로 떠먹을 수도 있다. 잘 익은 감은 단맛이 난다. 그러나 완전히 익기 전에는 떫은맛이 나므로 먹을 수 없다. 대한민국을 비롯해 중국, 일본, 베트남 등지에서는 수확한 감을 2주에서 3주가량 실외에서 말린 후 실내에서 며칠 간 더 말려 곶감으로 먹기도 한다. 이것을 일본에서는 호쉬가키(干し柿), 중국에서는 쉬빙(柿饼), 베트남에서는 hồng khô라고 한다. 곶감은 간식이나 후식으로 대접되거나 다른 요리에 사용된다. 감을익히면 홍시가 된다. 한국의 전통 음료인 수정과를 만들 때 말린 감을 사용하기도 하며, 익은 감을 발효시켜 감식초를 만들기도 한다. 타이완에서는 석회수를 담은 단지에 감을 보관하여 떫은맛을 제거한다. 이 과정에서 감이 약간 물렁해져 이를 취시(脆柿)라고 한다. 보관 기간은 상온(25–28 °C)에서 5-7일정도이다. 중국 둥베이 지역과 한국에서는 감의 잎을 말려 감잎차를 만든다. 비타민 A·C가 고루 들어 있어 피로 해소와 감기 예방에 탁월하며. 식이섬유 함량이 높아 장 기능을 개선한다. 해독·항산화 효과가 있으며, 칼륨과 마그네슘 등이 풍부하게 함유되어 있다. 고혈압 예방, 혈중 알코올의 상승률을 낮추는 효능도 있다.[2]"
7,과일,멜론,이것은 씨가 있나요?,,"멜론(melon, 문화어: 향참외)은 박과의 한해살이 덩굴식물이다. 북아프리카·중앙아시아·인도 등지를 원산지로 보고 있으나 서아시아에서도 야생종이 재배되므로 정확한 원산지는 알 수 없다. 영어 ‘멜론(melon)’은 고프랑스어(영어판) melon에서 왔다. 이는 다시 후기 라틴어(영어판) ‘멜로넴(melonem)’에서 왔는데, 이 때에는 호박속에 속하는 박 등을 부르는 말로 쓰였다. 더 이전 시대의 라틴어로는 ‘멜로페포넴(melopeponem)’이었는데, 이는 고대 그리스어 멜로페폰(μηλοπέπων)에서 왔으며, 이 단어는 ‘사과’를 뜻하는 ‘멜론(μῆλον)’과 ‘익은’을 뜻하는 ‘페폰(πέπων)’이 합쳐진 것이다. 기는 줄기는 덩굴손으로 다른 물체를 붙잡아 감고 올라간다. 전체에 거센 털이 있다. 잎이 변해서 된 덩굴손은 꼬불꼬불한 작은 코일처럼 생겼다. 멜론 열매는 둥근 모양이거나 달걀 모양이며, 대개 지름은 30cm 이상이며, 무게는 1 ~ 4kg이다. 열매는 종류에 따라 노란빛이 도는 분홍색, 노란색, 옅은 녹색, 짙은 녹색 등 여러 색깔을 띤다. 과육은 즙이 많고, 녹색·흰색·노란색·오렌지색·분홍색·붉은색을 띤다. 오늘날 경제적으로 중요한 멜론 종류는 멜론 변종들이며, 캔털루프, 참외, 감로멜론 따위가 대표적이다. 네트멜론으로도 알려진 머스크멜론은 북아메리카에서 널리 재배된다. 이 열매의 껍질은 연노란색을 띠고 부드러우며 그물무늬가 있다. 과육은 녹색이거나 노란빛이 도는 분홍색으로, 맛이 달콤하고 사향 냄새를 풍긴다. 유럽에서 많이 재배하는 캔털루프멜론은 껍질이 사마귀혹처럼 울퉁불퉁하고 녹색을 띤다. 과육은 노란빛을 띤 오렌지색으로 달다. 감로멜론은 초록빛이 도는 흰색을 띠는 매끈한 껍질과 달콤한 녹색 과육이 특징이다. 이 밖에도 여러 멜론 종류가 있다. 카사바멜론은 껍질이 쭈글쭈글하고 세로홈이 있는 머스크멜론 종류도 겨울멜론이라고도 한다. 이스라엘에서 재배하는 오겐멜론은 캔털루프멜론 종류이며, 샤랑테멜론은 머스크멜론 종류이다.[1] 이 밖에 망고멜론, 동양산 피클멜론, 뱀멜론 이 세 종류는 저장식품과 피클을 만드는 데 쓰이며, 널리 재배되진 않는다. 향기로운 관상 품종인 악취 멜론 품종도 있다. 변종 또는 품종에 따라 여러 가지로 불린다. 멜론의 변종은 참외이다."
8,과일,멜론,이것을 맞으면 아픈가요?,,"멜론(melon, 문화어: 향참외)은 박과의 한해살이 덩굴식물이다. 북아프리카·중앙아시아·인도 등지를 원산지로 보고 있으나 서아시아에서도 야생종이 재배되므로 정확한 원산지는 알 수 없다. 영어 ‘멜론(melon)’은 고프랑스어(영어판) melon에서 왔다. 이는 다시 후기 라틴어(영어판) ‘멜로넴(melonem)’에서 왔는데, 이 때에는 호박속에 속하는 박 등을 부르는 말로 쓰였다. 더 이전 시대의 라틴어로는 ‘멜로페포넴(melopeponem)’이었는데, 이는 고대 그리스어 멜로페폰(μηλοπέπων)에서 왔으며, 이 단어는 ‘사과’를 뜻하는 ‘멜론(μῆλον)’과 ‘익은’을 뜻하는 ‘페폰(πέπων)’이 합쳐진 것이다. 기는 줄기는 덩굴손으로 다른 물체를 붙잡아 감고 올라간다. 전체에 거센 털이 있다. 잎이 변해서 된 덩굴손은 꼬불꼬불한 작은 코일처럼 생겼다. 멜론 열매는 둥근 모양이거나 달걀 모양이며, 대개 지름은 30cm 이상이며, 무게는 1 ~ 4kg이다. 열매는 종류에 따라 노란빛이 도는 분홍색, 노란색, 옅은 녹색, 짙은 녹색 등 여러 색깔을 띤다. 과육은 즙이 많고, 녹색·흰색·노란색·오렌지색·분홍색·붉은색을 띤다. 오늘날 경제적으로 중요한 멜론 종류는 멜론 변종들이며, 캔털루프, 참외, 감로멜론 따위가 대표적이다. 네트멜론으로도 알려진 머스크멜론은 북아메리카에서 널리 재배된다. 이 열매의 껍질은 연노란색을 띠고 부드러우며 그물무늬가 있다. 과육은 녹색이거나 노란빛이 도는 분홍색으로, 맛이 달콤하고 사향 냄새를 풍긴다. 유럽에서 많이 재배하는 캔털루프멜론은 껍질이 사마귀혹처럼 울퉁불퉁하고 녹색을 띤다. 과육은 노란빛을 띤 오렌지색으로 달다. 감로멜론은 초록빛이 도는 흰색을 띠는 매끈한 껍질과 달콤한 녹색 과육이 특징이다. 이 밖에도 여러 멜론 종류가 있다. 카사바멜론은 껍질이 쭈글쭈글하고 세로홈이 있는 머스크멜론 종류도 겨울멜론이라고도 한다. 이스라엘에서 재배하는 오겐멜론은 캔털루프멜론 종류이며, 샤랑테멜론은 머스크멜론 종류이다.[1] 이 밖에 망고멜론, 동양산 피클멜론, 뱀멜론 이 세 종류는 저장식품과 피클을 만드는 데 쓰이며, 널리 재배되진 않는다. 향기로운 관상 품종인 악취 멜론 품종도 있다. 변종 또는 품종에 따라 여러 가지로 불린다. 멜론의 변종은 참외이다."
9,과일,멜론,이것은 털이 있나요?,True,"멜론(melon, 문화어: 향참외)은 박과의 한해살이 덩굴식물이다. 북아프리카·중앙아시아·인도 등지를 원산지로 보고 있으나 서아시아에서도 야생종이 재배되므로 정확한 원산지는 알 수 없다. 영어 ‘멜론(melon)’은 고프랑스어(영어판) melon에서 왔다. 이는 다시 후기 라틴어(영어판) ‘멜로넴(melonem)’에서 왔는데, 이 때에는 호박속에 속하는 박 등을 부르는 말로 쓰였다. 더 이전 시대의 라틴어로는 ‘멜로페포넴(melopeponem)’이었는데, 이는 고대 그리스어 멜로페폰(μηλοπέπων)에서 왔으며, 이 단어는 ‘사과’를 뜻하는 ‘멜론(μῆλον)’과 ‘익은’을 뜻하는 ‘페폰(πέπων)’이 합쳐진 것이다. 기는 줄기는 덩굴손으로 다른 물체를 붙잡아 감고 올라간다. 전체에 거센 털이 있다. 잎이 변해서 된 덩굴손은 꼬불꼬불한 작은 코일처럼 생겼다. 멜론 열매는 둥근 모양이거나 달걀 모양이며, 대개 지름은 30cm 이상이며, 무게는 1 ~ 4kg이다. 열매는 종류에 따라 노란빛이 도는 분홍색, 노란색, 옅은 녹색, 짙은 녹색 등 여러 색깔을 띤다. 과육은 즙이 많고, 녹색·흰색·노란색·오렌지색·분홍색·붉은색을 띤다. 오늘날 경제적으로 중요한 멜론 종류는 멜론 변종들이며, 캔털루프, 참외, 감로멜론 따위가 대표적이다. 네트멜론으로도 알려진 머스크멜론은 북아메리카에서 널리 재배된다. 이 열매의 껍질은 연노란색을 띠고 부드러우며 그물무늬가 있다. 과육은 녹색이거나 노란빛이 도는 분홍색으로, 맛이 달콤하고 사향 냄새를 풍긴다. 유럽에서 많이 재배하는 캔털루프멜론은 껍질이 사마귀혹처럼 울퉁불퉁하고 녹색을 띤다. 과육은 노란빛을 띤 오렌지색으로 달다. 감로멜론은 초록빛이 도는 흰색을 띠는 매끈한 껍질과 달콤한 녹색 과육이 특징이다. 이 밖에도 여러 멜론 종류가 있다. 카사바멜론은 껍질이 쭈글쭈글하고 세로홈이 있는 머스크멜론 종류도 겨울멜론이라고도 한다. 이스라엘에서 재배하는 오겐멜론은 캔털루프멜론 종류이며, 샤랑테멜론은 머스크멜론 종류이다.[1] 이 밖에 망고멜론, 동양산 피클멜론, 뱀멜론 이 세 종류는 저장식품과 피클을 만드는 데 쓰이며, 널리 재배되진 않는다. 향기로운 관상 품종인 악취 멜론 품종도 있다. 변종 또는 품종에 따라 여러 가지로 불린다. 멜론의 변종은 참외이다."
